Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Issue_price,Listing_Open,Listing_Close,Listing_Gain,CMP,Market_Profit,SME
2010-10-12,Cantabil Retail,105.0,1.71,3.83,2.63,135,133.8,104.75,-0.888888889,909.35,Yes,No
2010-10-12,Tecpro Systems,268.03,27.99,62.48,9.07,355,399.4,407.85,12.50704225,4.53,No,No
2010-10-08,Electrosteel St,0.0,5.86,28.58,6.19,11,11.15,11.25,1.363636364,31.05,Yes,Yes
2010-10-08,Orient Green,900.0,2.09,0.64,0.18,47,45.7,44.9,-2.765957447,13.35,No,No
2010-10-08,Ramky Infra,530.0,4.52,1.45,0.99,450,450.0,387.35,0.0,220.15,No,No
2010-10-06,Career Point,115.0,47.45,101.93,31.74,310,461.0,632.35,48.70967742,117.05,No,No
2010-10-06,Eros Intl,350.0,25.79,73.4,11.95,175,213.55,190.05,22.02857143,27.4,No,No
2010-10-05,Sasta Sundar,147.5,5.91,35.88,11.04,118,135.1,110.9,14.49152542,407.0,Yes,No
2010-10-01,Tirupati Inks,51.5,1.78,23.18,12.59,43,53.95,36.65,25.46511628,1.59,No,No
2010-09-29,Indosolar,357.0,1.44,1.3,1.81,29,29.75,23.7,2.586206897,4.21,No,No
2010-09-09,Gujarat Pipavav,500.0,13.2,85.7,9.15,46,56.25,54.05,22.2826087,92.5,Yes,No
2010-08-25,Prakash Steelag,68.75,1.27,10.91,6.62,110,118.55,18.8,7.772727273,6.31,No,No
2010-08-18,Bajaj Consumer ,297.0,20.19,53.49,6.62,660,730.0,151.65,10.60606061,172.75,No,No
2010-08-16,Bharat Fin,1653.97,20.38,18.26,2.81,985,1036.0,1088.58,5.177664975,898.2,No,No
2010-07-28,Shri Aster,53.1,0.01,12.46,7.41,118,127.7,199.1,8.220338983,1.28,No,No
2010-07-21,Hindustan Media,270.0,8.98,3.39,1.0,166,177.95,189.2,7.198795181,69.25,No,No
2010-07-16,Technofab Engg,71.76,4.28,48.85,10.03,240,265.0,295.65,10.41666667,6.85,No,No
2010-07-01,Parabolic Drugs,200.0,1.48,1.2,0.4,75,76.0,64.8,1.333333333,5.7,No,No
2010-05-21,Jaypee Infra,1650.0,1.77,1.15,0.61,102,98.0,91.3,-3.921568627,3.4,No,No
2010-05-20,SJVN,1079.0,9.03,3.39,3.12,26,27.1,25.05,4.230769231,30.3,Yes,No
2010-05-19,GB Global,107.9,7.97,10.52,2.81,130,131.0,133.65,0.769230769,9.8,No,No
2010-05-18,Tarapur Trans,63.75,0.03,5.08,2.74,75,75.0,56.9,0.0,4.99,No,No
2010-05-13,NEL HOLDINGS SO,405.0,2.54,0.22,0.16,54,50.0,50.95,-7.407407407,4.09,No,No
2010-05-10,Talwalkars Fitn,77.44,35.43,51.48,8.43,128,138.0,162.6,7.8125,1.45,No,No
2010-04-16,Goenka Diamond,145.0,0.78,2.99,0.66,135,130.0,12.79,-3.703703704,3.17,No,No
2010-04-12,Intrasoft Tech,53.65,21.97,21.6,13.51,145,140.0,159.35,-3.448275862,214.15,Yes,No
2010-04-09,Shree Ganesh,385.29,1.38,6.13,1.39,260,258.85,163.25,-0.442307692,0.82,No,No
2010-04-05,Pradip Overseas,116.6,8.57,45.35,10.53,110,120.0,89.29,9.090909091,1.14,No,No
